LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID29035 → ID29260,1249,29035,29260,118.71045464342467,0.020642711686245575,0.6941878504922255,5.553502803937804,3244.0,396.9387626274413,94.04420313043533,0.0,
ID27950 → ID29035,1249,27950,29035,110.21893546485578,0.012561919327940502,2.542937992094575,20.3435039367566,3236.0,384.1175898538935,92.45904021721495,0.0,
ID31561 → ID30488,1249,31561,30488,13.503119788439252,0.0034089569600590274,0.37739578351820685,3.019166268145655,3260.0,405.81741007037294,92.65778174033188,0.0,
ID30488 → ID31631,1249,30488,31631,2.2646895003160696,0.038252689282465946,0.37715593411129156,3.0172474728903325,3268.0,408.78875816581126,92.39501474233244,0.0,
ID30712 → ID30649,1249,30712,30649,45.0037501827138,0.11431766983294028,0.4795573052073758,3.836458441659006,3212.0,355.67386271117164,88.30140226184852,0.0,
ID30849 → ID27950,1249,30849,27950,220.39998111471397,0.12427022883153621,1.9636798701016085,15.709438960812868,3228.0,366.48006327060045,88.84447105927283,0.0,
ID29260 → ID31561,1249,29260,31561,29.969454382824864,0.025888279547449457,0.5930219472627861,4.744175578102289,3252.0,402.0334820270529,93.52183882201618,0.0,
ID28656 → ID30235,1249,28656,30235,8.844155431543372,NaN,0.37173905984960093,2.9739124787968074,3196.0,354.3760692276191,87.15732187316416,0.0,
ID30235 → ID30712,1249,30235,30712,11.106999277833223,0.2281390386260188,0.11648508197834542,0.9318806558267634,3204.0,353.4410938070263,88.25520603715992,0.0,
ID28679 → ID30643,1251,28679,30643,11.905173455156088,NaN,0.4312984294393082,3.4503874355144655,3196.0,308.0592136513726,97.48358864596247,0.0,
ID30270 → ID30713,1252,30270,30713,0.9324499414507457,0.06898198281961654,0.22943765708495178,1.8355012566796143,3204.0,421.6628340883577,89.45862793199672,0.0,
ID28664 → ID30270,1252,28664,30270,2.1986767964195257,NaN,0.1853491973116018,1.4827935784928143,3196.0,420.7135756856383,90.74302149681625,0.0,
ID30713 → ID30650,1252,30713,30650,15.829323319538817,0.12825630010758055,0.6556145242084966,5.244916193667973,3212.0,424.6036621366528,88.20744621488183,0.0,
ID28683 → ID32184,1253,28683,32184,4.911043251756398,NaN,0.27701092182203524,2.216087374576282,3196.0,283.55366578432233,101.0440301009991,0.0,
ID32243 → ID30777,1254,32243,30777,217.99139409938778,NaN,1.8455664530985965,14.764531624788772,3204.0,31.18764511512111,112.643569095827,0.0,
ID30772 → ID30687,1256,30772,30687,127.83006306626247,NaN,1.4132744727795628,11.306195782236502,3212.0,71.96463199635568,110.39635424806387,0.0,
ID30715 → ID30656,1258,30715,30656,56.271470775552544,NaN,0.937678906059003,7.501431248472024,3212.0,395.6581992501789,90.25952769463031,0.0,
ID30674 → ID30905,1259,30674,30905,22.342578892951956,NaN,0.5908492152845549,4.726793722276439,3220.0,38.25745041292214,102.05867957433006,0.0,
ID30680 → ID30897,1260,30680,30897,6.8771185395613665,NaN,0.32780325986885234,2.6224260789508187,3220.0,1.2936063846096402,102.676613639046,0.0,
ID30654 → ID30854,1262,30654,30854,7.039298456396778,NaN,0.3316459533617132,2.6531676268937057,3220.0,208.82109350428104,90.28479062754249,0.0,
ID29101 → ID29282,1266,29101,29282,15.501430138349749,NaN,0.4921481950710729,3.937185560568583,3244.0,1.9669541509402184,103.3885011179155,0.0,
ID30462 → ID31620,1268,30462,31620,103.28687818555343,0.0015610149623100861,0.4370026978559429,3.4960215828475434,3268.0,209.6343297644829,89.15489658149772,0.0,
ID29265 → ID31556,1268,29265,31556,183.8264111921738,NaN,1.6947824860074863,13.55825988805989,3252.0,234.64693440386793,94.24438570046672,0.0,
ID31556 → ID30462,1268,31556,30462,24.15873069481707,0.0278215969200724,2.1403423364391214,17.12273869151297,3260.0,219.84155244893083,90.60182091178791,0.0,
ID29301 → ID31609,1269,29301,31609,5.4387255374795656,NaN,0.2915134414107147,2.332107531285718,3252.0,70.5547980202045,114.43995247496987,0.0,
ID31555 → ID30478,1270,31555,30478,105.22300724915328,0.1305039706559091,0.3774074895256615,3.019259916205292,3260.0,381.4238877971512,91.44744988546319,0.0,
ID29276 → ID31555,1270,29276,31555,130.8309759602071,NaN,1.4297671136860841,11.438136909488673,3252.0,377.21681505165327,96.54335415288284,0.0,
ID30478 → ID31625,1270,30478,31625,91.4252594096726,0.011687724547888323,0.6183493889785798,4.946795111828639,3268.0,385.38544671340446,91.07604870993299,0.0,
ID29292 → ID31603,1271,29292,31603,1.34810955431484,NaN,0.14513515007112981,1.1610812005690385,3252.0,231.37725277043603,108.01232519710078,0.0,
ID31607 → ID30562,1273,31607,30562,1.8729325623659792,NaN,0.17106890800776284,1.3685512640621027,3260.0,110.45681642760641,110.66654690611156,0.0,
ID31613 → ID30568,1275,31613,30568,4.190909018826913,NaN,0.2558963724228433,2.0471709793827464,3260.0,53.05761172787933,116.27234450796874,0.0,
ID30529 → ID31644,1276,30529,31644,109.81681297210378,NaN,1.3099189679858527,10.479351743886822,3268.0,46.20370099291375,100.25139001250417,0.0,
ID30547 → ID31655,1277,30547,31655,0.23374277346717526,NaN,0.06043368957315624,0.48346951658524995,3268.0,323.93770783674296,103.23065211421836,0.0,
ID31655 → ID29552,1277,31655,29552,0.027711705953612956,0.04067864236006097,0.0495369888608387,0.3962959108867096,3276.0,324.21400494217147,102.89579603428285,0.0,
