LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/ms),(micron/ms),(micron),(ms),(micron),(micron),(micron),
ID6550 → ID6611,97,6550,6611,0.051629889353901455,0.007069508749670119,0.24633952456722996,1.9707161965378397,756.0,26.6101194600393,67.74638111533591,0.0,
ID3106 → ID2211,97,3106,2211,0.1445974079307532,0.03758904841474341,0.16727463288224018,1.3381970630579214,436.0,89.25538488326364,62.36208458509237,0.0,
ID6322 → ID6550,97,6322,6550,0.19721637258540653,0.0013954478792821117,0.25065645574968337,2.005251645997467,748.0,28.59544068181907,67.83252360313358,0.0,
ID7650 → ID8128,97,7650,8128,3.2412871975468205,0.0,0.21676425875294036,1.734114070023523,916.0,0.0,73.69984797599986,0.0,
ID5467 → ID5667,97,5467,5667,0.14211671009372934,0.003700749571218536,0.24329470980651166,1.9463576784520933,516.0,74.04653131628955,65.15513609706758,0.0,
ID2099 → ID5467,97,2099,5467,0.004971862031312654,0.002473307749407376,0.19315143285933467,1.5452114628746774,508.0,75.78243945225961,64.97148501065027,0.0,
ID7217 → ID6849,97,7217,6849,0.3392795325278865,0.3787016944041531,0.013362372093156362,0.1068989767452509,620.0,60.9296901183791,65.81356071323874,0.0,
ID8555 → ID6322,97,8555,6322,0.3137296606675998,0.026113834964403605,0.33017388417084215,2.641391073366737,740.0,30.918632764619318,67.8533961649583,0.0,
ID8163 → ID6919,97,8163,6919,0.2440951257773203,0.016441408775728705,0.21804130253691661,1.744330420295333,788.0,17.821476550327333,68.98879275084789,0.0,
ID8128 → ID7807,97,8128,7807,1.3248453787790753,0.0,0.28901901167058774,2.312152093364702,924.0,0.0,75.72298105769397,0.0,
ID6849 → ID6031,97,6849,6031,1.2428434418217897,0.0014303108924558136,0.12427398424365822,0.9941918739492658,628.0,60.38381346696765,65.8850832138331,0.0,
ID6743 → ID7443,97,6743,7443,0.010317988928882912,0.013804871623222737,0.19853418559902583,1.5882734847922066,564.0,63.75877753582926,65.64788970744519,0.0,
ID9637 → ID7650,97,9637,7650,12.709363583308729,0.1805786755062554,0.07225475291764738,0.578038023341179,908.0,0.0,72.54377192931751,0.0,
ID2211 → ID3572,97,2211,3572,0.4146688053576654,0.015651171104623014,0.22335412491384685,1.7868329993107748,444.0,87.76437856196102,62.81924311821821,0.0,
ID8904 → ID8960,97,8904,8960,0.3517933647123999,0.014653282328138765,0.01875008073510225,0.150000645880818,820.0,13.68499663894502,69.2792567595769,0.0,
ID6611 → ID7565,97,6611,7565,0.9494445205456594,0.03581568160273126,0.34820894103323247,2.7856715282658597,764.0,24.26643146820328,67.97227541704558,0.0,
ID6625 → ID5687,97,6625,5687,0.1546830301977976,0.0012312104091969697,0.3339898072071886,2.671918457657509,716.0,37.91395325994679,68.27738026801353,0.0,
ID4394 → ID3319,98,4394,3319,0.5263674178360738,NaN,0.09068897895383238,0.725511831630659,412.0,32.8003811748347,63.79581119134971,0.0,
ID3681 → ID5184,99,3681,5184,197.13712432315867,0.12799175034938934,1.8410778365884688,14.72862269270775,492.0,90.96098656308493,65.92099331561494,0.0,
ID3488 → ID3051,99,3488,3051,0.00862898008239609,0.014105743562867288,0.1585702725353053,1.2685621802824425,428.0,103.04095778671467,57.847350457159756,0.0,
ID3051 → ID2200,99,3051,2200,0.0025093883266732783,0.006537455781604528,0.15702464584813672,1.2561971667850937,436.0,101.78178397480677,57.93098238642321,0.0,
ID2921 → ID4814,99,2921,4814,0.05816940031889259,0.0028240880618284185,0.16188405491746133,1.2950724393396906,468.0,97.23591551107924,58.65402875812952,0.0,
ID3307 → ID3488,99,3307,3488,0.01653144486623813,0.009382001799915544,0.15971361918877422,1.2777089535101938,420.0,104.31125669781957,57.801960469931416,0.0,
ID4380 → ID3307,99,4380,3307,1.4122191100662407,NaN,0.1485460319052145,1.188368255241716,412.0,105.54327710253952,57.78266018210243,0.0,
ID4814 → ID3154,99,4814,3154,0.0070195016692553135,0.012792861551182708,0.1485756187468236,1.1886049499745888,476.0,96.03784138250595,58.97458215869743,0.0,
